0,0,0
2,0,0
7,0,0
14,0,0
24,0,0
36,0,0
51,0,0
68,0,0
88,0,0
110,0,0
135,0,0
163,0,0
193,0,0
226,0,0
0,35,0
38,35,0
78,35,0
121,35,0
166,35,0
214,35,0
0,86,0
53,86,0
109,86,0
167,86,0
228,86,0
0,149,0
66,149,0
134,149,0
205,149,0
0,222,0
76,222,0
155,222,0
236,222,0
0,0,84
86,0,84
175,0,84
0,91,84
94,91,84
190,91,84
0,190,84
102,190,84
206,190,84
0,0,191
109,0,191
221,0,191
0,114,191
117,114,191
236,114,191
0,236,191
124,236,191
251,236,191
0,0,0
132,0,0
0,135,0
137,135,0
0,0,140
142,0,140
0,145,140
147,145,140
0,0,0
153,0,0
0,155,0
158,155,0
0,0,160
163,0,160
0,165,160
168,165,160
0,0,0
173,0,0
0,175,0
178,175,0
0,0,181
183,0,181
0,186,181
188,186,181
0,0,0
193,0,0
0,196,0
198,196,0
0,0,201
204,0,201
0,206,201
209,206,201
0,0,0
214,0,0
0,216,0
219,216,0
0,0,221
224,0,221
0,226,221
229,226,221
0,0,0
234,0,0
0,237,0
239,237,0
0,0,242
244,0,242
0,247,242
249,247,242
0,0,0
